group,seed,correct,n,accuracy
Base Qwen3-1.7B,7,2,30,0.06666666666666667
Base Qwen3-1.7B,13,2,30,0.06666666666666667
Base Qwen3-1.7B,21,0,30,0.0
GRPO original,7,3,30,0.1
GRPO original,13,3,30,0.1
GRPO original,21,4,30,0.13333333333333333
GRPO rerun,7,3,30,0.1
GRPO rerun,13,2,30,0.06666666666666667
GRPO rerun,21,2,30,0.06666666666666667
Rollout-SFT original,7,2,30,0.06666666666666667
Rollout-SFT original,13,2,30,0.06666666666666667
Rollout-SFT original,21,2,30,0.06666666666666667
Rollout-SFT rerun,7,2,30,0.06666666666666667
Rollout-SFT rerun,13,3,30,0.1
Rollout-SFT rerun,21,2,30,0.06666666666666667
